"","Batting","GP","GS","AVG","AB","R","H","2B","3B","HR","RBI","TB","SLG%","BB","HBP","SO","GDP","OB%","SF","SH","SB","SBA"
"1","Moser, Max",2,0,0.5,2,0,1,0,0,0,0,1,0.5,0,0,0,0,0.5,0,0,0,0
"2","Clark, Donovan",41,39,0.341,132,36,45,6,0,0,11,51,0.386,21,0,40,0,0.431,0,4,32,38
"3","Hansen, Jacob",20,12,0.34,47,6,16,5,0,1,12,24,0.511,8,0,12,1,0.436,0,1,2,2
"4","Lichty, Daniel",42,42,0.34,141,34,48,8,4,1,30,67,0.475,26,7,18,0,0.458,3,3,12,15
"5","Mccutcheon, Ian",42,42,0.296,142,22,42,10,2,0,21,56,0.394,12,3,25,1,0.361,1,3,9,12
"6","Kunce, Matt",13,1,0.294,17,0,5,0,0,0,3,5,0.294,0,0,3,0,0.294,0,0,0,0
"7","Pritchard, Austin",32,32,0.293,123,14,36,13,0,4,25,61,0.496,13,0,20,5,0.358,1,0,1,1
"8","Wilson, Satchell",42,41,0.267,135,22,36,8,2,3,19,57,0.422,14,9,22,2,0.373,0,0,5,7
"9","Gray, Jarret",32,9,0.267,45,10,12,4,1,0,10,18,0.4,5,0,9,0,0.321,3,1,2,2
"10","Roser, Adam",34,31,0.264,110,13,29,7,0,1,18,39,0.355,16,0,18,1,0.354,1,4,0,0
"11","Natividad, Andrew",35,23,0.257,70,13,18,7,0,0,5,25,0.357,22,5,17,3,0.459,1,2,2,6
"12","Landrum, Collin",35,27,0.239,88,21,21,4,0,0,8,25,0.284,14,6,16,1,0.376,1,2,21,28
"13","Perez, Adrian",34,29,0.217,92,19,20,2,1,4,23,36,0.391,7,8,29,1,0.321,2,0,10,11
"14","Knust, Eli",18,8,0.176,17,0,3,0,0,0,1,3,0.176,4,0,7,0,0.333,0,1,0,0
"15","Davit, Nick",23,5,0.138,29,2,4,1,0,0,5,5,0.172,3,0,11,0,0.206,2,0,1,2
"16","Bonilla, Gustavo",37,35,0.133,60,1,8,0,0,0,5,8,0.133,15,1,26,0,0.316,0,9,1,1
"17","Young, Owen",5,3,0.1,10,0,1,0,0,0,0,1,0.1,1,0,4,0,0.182,0,0,1,2
"18","Froehlke, Ethan",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","Moore, DJ",10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","Shinabery, Mason",18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","Mccutcheon, Alex",14,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","Landrum, Caleb",11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","Butz, Joey",12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","Turner, Brent",15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","Pitzer, Cameron",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","Watson, Jesse",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"27","Mckinney, Matt",4,0,0,2,0,0,0,0,0,0,0,0,1,1,2,0,0.5,0,0,0,0
"28","Freeman, Gabe",20,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"29","Hale, Ryan",27,0,0,4,13,0,0,0,0,0,0,0,0,0,2,0,0,0,0,11,16
"30","Total:",42,NA,0.273,1266,231,345,75,10,14,196,482,0.381,183,40,281,15,0.378,15,30,111,144
"31","Opponents:",42,NA,0.254,1285,195,327,51,6,32,180,486,0.378,164,30,320,14,0.35,11,19,21,37
