"","Batting","GP","GS","AVG","AB","R","H","2B","3B","HR","RBI","TB","SLG%","BB","HBP","SO","GDP","OB%","SF","SH","SB","SBA"
"1","Cintron, Luis",5,0,0.5,2,4,1,0,0,0,1,1,0.5,0,0,0,0,0.5,0,0,0,0
"2","Glover, Jake",52,51,0.378,164,33,62,11,3,5,32,94,0.573,33,3,23,2,0.483,3,0,5,6
"3","Myers, Ashton",53,53,0.374,179,48,67,17,3,10,58,120,0.67,23,11,37,3,0.465,4,0,0,2
"4","Miller, Brandt",51,49,0.372,164,35,61,10,0,0,28,71,0.433,8,5,27,0,0.418,0,6,7,9
"5","Moser, Nick",52,50,0.355,186,48,66,2,3,0,17,74,0.398,31,3,31,0,0.452,1,3,25,32
"6","Miller, Kobe",29,12,0.341,41,12,14,3,0,0,7,17,0.415,10,2,6,0,0.491,0,1,2,4
"7","Kline, Chris",48,47,0.337,187,32,63,8,2,0,31,75,0.401,12,2,22,0,0.377,3,7,20,25
"8","Pearl, Devin",48,47,0.325,163,31,53,9,4,3,36,79,0.485,16,1,27,3,0.385,2,0,2,4
"9","Miller, Cameron",26,25,0.305,82,8,25,6,1,2,15,39,0.476,3,1,18,1,0.337,0,3,1,2
"10","Cooper, Billy",20,16,0.292,48,4,14,3,0,0,6,17,0.354,4,3,14,0,0.382,0,0,1,1
"11","Saal, Aaron",53,53,0.287,195,32,56,17,0,4,41,85,0.436,10,3,26,4,0.325,4,0,8,11
"12","Walker, Toby",53,40,0.287,115,36,33,1,1,0,19,36,0.313,24,4,12,0,0.424,1,6,8,15
"13","Dent, Hunter",8,2,0.273,11,0,3,0,0,0,1,3,0.273,2,0,3,0,0.357,1,0,0,0
"14","Clark, Cory",40,7,0.227,22,28,5,0,0,0,2,5,0.227,4,1,7,0,0.37,0,2,5,6
"15","Ritchey, Drew",20,15,0.214,42,0,9,0,0,0,5,9,0.214,2,5,17,0,0.327,0,3,0,0
"16","Patten, Yanni",26,11,0.186,43,3,8,3,0,0,9,11,0.256,6,1,7,1,0.3,0,1,1,1
"17","Goodpaster, Adam",23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","Roe, Jacob",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","Bauman, Kaleb",14,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","Brooks, Jeremy",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","Wood, Trenton",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","Williamson, Curtis",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","Conner, Clint",4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","Ottke, Jackson",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","Bacon, Christian",14,2,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"26","Rader, Mark",11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","Booth, Payton",12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","Rose, Jaret",9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","Griffith, Jack",8,2,0,7,1,0,0,0,0,0,0,0,2,0,5,0,0.222,0,0,0,1
"30","Fuentes, Gustavo",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","Total:",53,NA,0.327,1652,359,540,90,17,24,308,736,0.446,190,45,282,14,0.407,19,32,86,120
"32","Opponents:",53,NA,0.278,1569,226,436,78,8,23,203,599,0.382,140,38,283,40,0.349,14,12,37,68
