"","Batting","GP","GS","AVG","AB","R","H","2B","3B","HR","RBI","TB","SLG%","BB","HBP","SO","GDP","OB%","SF","SH","SB","SBA"
"1","Snider, David",6,6,0.381,21,6,8,3,0,0,3,11,0.524,1,1,5,1,0.435,0,0,0,0
"2","Vollmer, Matthew",32,24,0.338,71,3,24,1,0,0,6,25,0.352,4,2,5,1,0.385,1,3,1,1
"3","Prince, Tyler",53,52,0.326,175,36,57,17,0,4,41,86,0.491,40,5,32,1,0.455,4,0,4,5
"4","Miller, David",21,9,0.325,40,11,13,2,0,1,5,18,0.45,3,0,9,0,0.364,1,0,3,5
"5","Freimuth, Noah",42,42,0.32,150,29,48,12,2,6,38,82,0.547,13,6,15,4,0.394,1,1,11,13
"6","Harris, Jack",48,46,0.307,166,34,51,12,1,1,23,68,0.41,20,9,44,5,0.408,1,0,3,4
"7","Nagy, Jacob",43,30,0.295,105,3,31,3,0,2,23,40,0.381,14,0,20,1,0.369,3,2,1,4
"8","Mccowin, Mikhail",53,45,0.277,159,33,44,14,2,2,28,68,0.428,20,11,31,0,0.391,2,1,7,9
"9","Sullivan, Kaden",51,42,0.273,143,16,39,3,0,0,17,42,0.294,14,8,29,3,0.365,2,2,11,13
"10","Bova, Tony",47,38,0.27,115,18,31,3,0,0,6,34,0.296,6,5,36,3,0.331,1,3,14,17
"11","Tussing, Justice",48,26,0.248,101,12,25,7,0,0,11,32,0.317,6,1,23,3,0.296,0,0,6,9
"12","Wolfe, Harold",40,33,0.246,118,19,29,5,0,1,18,37,0.314,17,2,25,5,0.348,1,0,0,0
"13","Gaff, Tanner",48,34,0.225,102,14,23,7,0,1,20,33,0.324,20,8,32,1,0.392,0,0,0,0
"14","Harris, Brady",51,50,0.21,167,26,35,8,0,0,10,43,0.257,37,3,50,1,0.362,0,1,10,12
"15","Barron, Tanner",4,0,0.2,5,1,1,0,0,0,0,1,0.2,0,0,2,0,0.2,0,0,0,0
"16","Zeller, Will",6,1,0.167,6,0,1,0,0,0,0,1,0.167,1,0,1,0,0.286,0,0,0,0
"17","Siddons, Jordan",27,4,0.167,12,10,2,0,0,0,0,2,0.167,1,0,5,0,0.231,0,0,2,3
"18","Zabarsky, Kyle",22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","Miller, Anthony",19,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","Mccracken, Ryan",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","Ward, jr., Anthony",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","Zarsycki, Nick",9,1,0,6,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"23","Hoffman, Dane",16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","Baker, Matt",14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","Dekoninck, Kyle",16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","Manson, Vyncent",10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"27","Adams, Conner",11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","Angeles, Genero",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","Vochelli, Michael",14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","Miller, Matt",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","Betts, Charlie",17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","Fiorini, Matt",17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","Total:",53,NA,0.278,1662,274,462,97,5,18,249,623,0.375,217,61,368,29,0.378,17,13,73,96
"34","Opponents:",53,NA,0.301,1662,385,500,113,18,36,342,757,0.455,289,58,340,29,0.417,22,34,91,116
