"","Fielding","GP","GS","C","PO","A","E","FLD%","DP","TP","SBA","RCS","SBA%","PB","CI","OBS"
"1","Plomb, Bray",1,1,9,7,2,0,1,0,0,2,0,1,0,0,0
"2","Clevenger, Benjamin",2,1,1,1,0,0,1,0,0,0,0,0,0,0,0
"3","Andersen, Zach",3,3,14,13,1,0,1,0,0,0,0,0,0,0,0
"4","Gillam, Josh",11,9,56,49,7,0,1,1,0,11,2,0.846,3,0,0
"5","Beebe, Krischtin",7,1,2,1,1,0,1,0,0,0,0,0,0,0,0
"6","Diss, Brandon",34,34,11,9,2,0,1,0,0,0,0,0,0,0,0
"7","Wathier, Mike",27,26,177,165,9,3,0.983,10,0,0,0,0,0,0,0
"8","Spera, James",23,17,136,128,4,4,0.971,6,0,0,0,0,0,0,0
"9","Swingley, Sullivan",23,20,30,18,11,1,0.967,0,0,0,0,0,0,0,0
"10","Moss, Kawambee",36,36,127,119,3,5,0.961,1,0,0,0,0,0,0,0
"11","Love, Mason",38,38,219,163,47,9,0.959,8,0,65,13,0.833,17,0,0
"12","Schalasky, Jake",39,35,67,61,2,4,0.94,0,0,0,0,0,0,0,0
"13","Lafi, Syam",35,32,129,55,66,8,0.938,11,0,0,0,0,0,0,0
"14","Wilburn, Jake",40,39,122,41,73,8,0.934,4,0,0,0,0,0,0,0
"15","Kermode, Seth",34,24,51,45,2,4,0.922,0,0,0,0,0,0,0,0
"16","Adams, Luke",27,27,97,34,51,12,0.876,5,0,0,0,0,0,0,0
"17","Goodrich, Kory",7,5,12,2,8,2,0.833,0,0,0,0,0,0,0,0
"18","Luzon, Sean",31,18,55,14,31,10,0.818,4,0,0,0,0,0,0,0
"19","Beebe, Rocci",14,8,11,9,0,2,0.818,0,0,0,0,0,0,0,0
"20","King, Josh",9,2,4,0,3,1,0.75,0,0,0,0,0,0,0,0
"21","Bobeck, Andrew",18,11,15,3,8,4,0.733,0,0,0,0,0,0,0,0
"22","Rasmussen, Justin",14,12,21,5,10,6,0.714,0,0,0,0,0,0,0,0
"23","Madrid, Jose",17,0,7,1,3,3,0.571,0,0,0,0,0,0,0,0
"24","Pietsch, Matthew",12,0,2,0,1,1,0.5,0,0,0,0,0,0,0,0
"25","Ignaszak, Quin",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","Hoeffel, Noah",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","Total:",40,NA,1375,943,345,87,0.937,20,0,78,15,0.839,20,0,0
"28","Opponents:",40,NA,1366,954,350,62,0.955,26,0,49,10,0.831,10,1,0
