"","Fielding","GP","GS","C","PO","A","E","FLD%","DP","TP","SBA","RCS","SBA%","PB","CI","OBS"
"1","Peebles, Joey",8,3,1,0,1,0,1,0,0,0,0,0,0,0,0
"2","Clark, Scottie",10,5,8,0,8,0,1,0,0,0,0,0,0,0,0
"3","Swartzentruber, Logan",13,9,5,1,4,0,1,0,0,0,0,0,0,0,0
"4","Hammel, Jacob",10,0,4,0,4,0,1,0,0,0,0,0,0,0,0
"5","Noska, Jordan",14,0,5,1,4,0,1,0,0,0,0,0,0,0,0
"6","Peterson, Ike",13,0,2,0,2,0,1,1,0,0,0,0,0,0,0
"7","Buzbee, Wyatt",25,0,3,3,0,0,1,0,0,0,0,0,0,0,0
"8","Haney, Houston",40,38,111,55,54,2,0.982,14,0,0,0,0,0,0,0
"9","Sapp, Jacob",39,37,277,245,27,5,0.982,2,0,66,11,0.857,3,0,0
"10","Griffin, Chris",43,41,292,270,14,8,0.973,20,0,0,0,0,0,0,0
"11","Anderson, David",42,42,89,66,20,3,0.966,1,0,0,0,0,0,0,0
"12","Ackerman, Hunter",34,28,45,39,4,2,0.956,0,0,0,0,0,0,0,0
"13","Harmon, Beach",12,2,20,19,0,1,0.95,3,0,0,0,0,0,0,0
"14","Elford, Sid",28,11,53,46,4,3,0.943,0,0,14,2,0.875,4,0,0
"15","Harris, Xavier",44,44,51,42,6,3,0.941,3,0,0,0,0,0,0,0
"16","Enyart, Mitchell",35,31,82,29,48,5,0.939,7,0,0,0,0,0,0,0
"17","Snyder, RJ",41,27,43,35,4,4,0.907,0,0,0,0,0,0,0,0
"18","Mullett, Jaron",34,17,39,34,1,4,0.897,0,0,0,0,0,0,0,0
"19","Wilhelmi, Bret",18,5,18,16,0,2,0.889,0,0,0,0,0,0,0,0
"20","Scott, Branden",25,14,54,16,32,6,0.889,1,0,0,0,0,0,0,0
"21","Brooks, Ethan",28,18,81,25,46,10,0.877,8,0,0,0,0,0,0,0
"22","Wertz, Philip",12,4,16,9,5,2,0.875,0,0,0,0,0,0,0,0
"23","Voirol, Aaron",13,4,8,2,5,1,0.875,1,0,0,0,0,0,0,0
"24","Newkirk, Sam",43,41,179,59,97,23,0.872,19,0,0,0,0,0,0,0
"25","Tew, Josh",14,7,10,1,7,2,0.8,0,0,0,0,0,0,0,0
"26","Total:",44,NA,1498,1014,398,86,0.943,29,0,80,13,0.86,7,0,0
"27","Opponents:",44,NA,1554,1049,426,79,0.949,25,0,41,14,0.745,10,0,0
