"","Fielding","GP","GS","C","PO","A","E","FLD%","DP","TP","SBA","RCS","SBA%","PB","CI","OBS"
"1","Swift, Austin",6,1,2,1,1,0,1,0,0,0,0,0,0,0,0
"2","Hall, Kyle",16,10,11,1,10,0,1,0,0,0,0,0,0,0,0
"3","Lenz, Bryce",36,2,6,4,2,0,1,1,0,0,0,0,0,0,0
"4","Eder, Caleb",52,51,322,300,20,2,0.994,20,0,0,0,0,0,0,0
"5","Thixton, Tye",52,52,119,114,4,1,0.992,1,0,0,0,0,0,0,0
"6","West, Brady",52,52,405,359,35,11,0.973,4,0,62,15,0.805,11,0,0
"7","Busby, Steven",52,52,67,63,2,2,0.97,0,0,0,0,0,0,0,0
"8","Coy, Nick",44,41,142,85,51,6,0.958,8,0,9,3,0.75,2,0,0
"9","Wharton, Jordan",29,28,100,36,58,6,0.94,11,0,0,0,0,0,0,0
"10","Bauman, Noah",31,19,67,32,31,4,0.94,5,0,0,0,0,0,0,0
"11","Young, Jon",13,13,29,7,20,2,0.931,1,0,0,0,0,0,0,0
"12","Johnson, Parker",29,27,93,32,54,7,0.925,9,0,0,0,0,0,0,0
"13","Killian, Tanner",34,23,25,20,3,2,0.92,4,0,0,0,0,0,0,0
"14","Turner, Austin",26,19,61,23,33,5,0.918,7,0,0,0,0,0,0,0
"15","Cantrell, Conner",12,11,12,3,8,1,0.917,0,0,0,0,0,0,0,0
"16","Goodin, Lucas",52,51,75,47,21,7,0.907,2,0,0,0,0,0,0,0
"17","English, Ethan",36,35,50,21,22,7,0.86,1,0,0,0,0,0,0,0
"18","Schreiber, Gaven",29,19,48,19,20,9,0.813,5,0,0,0,0,0,0,0
"19","Breytenbach, Zee",17,0,9,1,6,2,0.778,2,0,0,0,0,0,0,0
"20","Rohde, Johnny",12,0,4,0,3,1,0.75,1,0,0,0,0,0,0,0
"21","Ledbetter, Collin",9,3,5,1,2,2,0.6,0,0,0,0,0,0,0,0
"22","Wynkoop, Tyler",12,2,5,0,3,2,0.6,0,0,0,0,0,0,0,0
"23","Koenig, Josiah",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","Mccool, Max",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","Raven, James",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","Denison, Seth",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","Swenson, Jared",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","Fitch, Michael",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","Durham, Jack",26,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","Total:",52,NA,1657,1169,409,79,0.952,29,0,71,18,0.798,13,0,0
"31","Opponents:",52,NA,1555,1194,310,51,0.967,16,0,46,9,0.836,18,0,0
