"","Fielding","GP","GS","C","PO","A","E","FLD%","DP","TP","SBA","RCS","SBA%","PB","CI","OBS"
"1","Weimer, Cole",2,0,1,1,0,0,1,0,0,0,0,0,0,0,0
"2","Sampoll, Josh",5,0,3,0,3,0,1,0,0,0,0,0,0,0,0
"3","Aping, Kole",7,3,2,1,1,0,1,0,0,0,0,0,0,0,0
"4","Lucas, Tyler",8,6,5,1,4,0,1,1,0,0,0,0,1,0,0
"5","Streit, Andrew",10,2,8,4,4,0,1,1,0,0,0,0,0,0,0
"6","Olejnik, Dillon",9,1,15,12,3,0,1,0,0,2,1,0.667,3,0,0
"7","Laguire, Jonathan",29,4,20,18,2,0,1,0,0,0,0,0,0,0,0
"8","Mccool, Skyler",28,8,1,1,0,0,1,0,0,0,0,0,0,0,0
"9","Hargrove, Tyler",27,4,11,10,1,0,1,0,0,0,0,0,0,0,0
"10","Hickman, Evan",45,41,213,193,19,1,0.995,1,0,21,9,0.7,10,0,0
"11","Bacon, Maverick",46,46,279,269,7,3,0.989,19,0,0,0,0,0,0,0
"12","Adams, Baylee",35,28,173,158,13,2,0.988,3,0,11,4,0.733,6,0,0
"13","Turk, Matt",43,34,44,38,5,1,0.977,5,0,0,0,0,0,0,0
"14","Myers, Caleb",27,20,84,32,50,2,0.976,9,0,0,0,0,0,0,0
"15","Jones, Caden",43,34,41,40,0,1,0.976,0,0,0,0,0,0,0,0
"16","Fisher, Henry",51,49,136,130,2,4,0.971,1,0,0,0,0,0,0,0
"17","Stephen, Eathan",37,28,110,56,50,4,0.964,13,0,0,0,0,0,0,0
"18","Peisker, Shane",20,20,24,22,1,1,0.958,0,0,0,0,0,0,0,0
"19","Lopez, Leo",50,50,215,79,126,10,0.953,20,0,0,0,0,0,0,0
"20","Vogel, Tyler",46,45,142,57,78,7,0.951,6,0,0,0,0,0,0,0
"21","Quartero, Kahi'au",29,23,34,30,2,2,0.941,0,0,0,0,0,0,0,0
"22","Dowell, Chase",22,8,13,4,8,1,0.923,0,0,0,0,0,0,0,0
"23","Burleton, Matt",17,15,23,6,15,2,0.913,0,0,0,0,0,0,0,0
"24","Earl, Cody",16,16,44,10,30,4,0.909,1,0,0,0,0,0,0,0
"25","Simpson, Tanner",13,11,9,0,8,1,0.889,1,0,0,0,0,0,0,0
"26","Augustus, Allan",40,5,25,21,1,3,0.88,0,0,0,0,0,0,0,0
"27","Wills, Reese",10,6,8,0,7,1,0.875,0,0,0,0,0,0,0,0
"28","Marin, Jake",6,0,5,2,2,1,0.8,0,0,0,0,0,0,0,0
"29","Shuder, Adam",30,3,16,4,7,5,0.688,1,0,0,0,0,0,0,0
"30","Darter, Ethan",9,0,3,0,2,1,0.667,0,0,0,0,0,0,0,0
"31","Berger, Jared",14,0,3,0,2,1,0.667,0,0,0,0,0,0,0,0
"32","Bartholomew, Adam",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","Abegg, Kadin",4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","Bromberek, John",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","Total:",51,NA,1710,1199,453,58,0.966,31,0,34,14,0.708,20,0,0
"36","Opponents:",51,NA,1740,1212,443,85,0.951,31,0,19,5,0.792,19,0,0
