"","Fielding","GP","GS","C","PO","A","E","FLD%","DP","TP","SBA","RCS","SBA%","PB","CI","OBS"
"1","Brook, Noah",8,4,27,23,4,0,1,0,0,5,1,0.833,0,0,0
"2","Williams, Jon",13,10,5,0,5,0,1,0,0,0,0,0,0,0,0
"3","Waller, Cameron",9,0,1,1,0,0,1,0,0,0,0,0,0,0,0
"4","Salow, Steve",18,7,46,44,2,0,1,0,0,12,1,0.923,1,0,0
"5","Lorey, Evan",43,43,99,87,11,1,0.99,0,0,0,0,0,0,0,0
"6","Harding, Peyton",43,42,285,261,21,3,0.989,3,0,52,8,0.867,14,0,0
"7","Lengerich, Conner",52,52,178,165,10,3,0.983,14,0,0,0,0,0,0,0
"8","Patterson, Duncan",48,44,59,37,21,1,0.983,2,0,0,0,0,0,0,0
"9","Herschberger, Vincent",48,48,279,242,28,9,0.968,15,0,0,0,0,0,0,0
"10","Kitchen, Josiah",50,41,97,67,26,4,0.959,5,0,0,0,0,0,0,0
"11","Kraabel, Zach",43,21,46,39,4,3,0.935,0,0,1,0,1,0,0,0
"12","Mast, Brant",52,52,171,63,96,12,0.93,16,0,0,0,0,0,0,0
"13","Devon, Zachariah",18,14,13,2,10,1,0.923,0,0,0,0,0,0,0,0
"14","Leon, Danilo",6,6,25,9,14,2,0.92,3,0,0,0,0,0,0,0
"15","Dale, Jacoby",33,14,35,28,4,3,0.914,0,0,0,0,0,0,0,0
"16","Triplett, Chris",50,50,204,71,111,22,0.892,16,0,0,0,0,0,0,0
"17","Carroll, Nick",16,4,6,0,5,1,0.833,0,0,0,0,0,0,0,0
"18","Harris, Gavin",20,6,16,6,7,3,0.813,1,0,0,0,0,0,0,0
"19","Ellis, Jake",42,17,53,23,20,10,0.811,3,0,0,0,0,0,0,0
"20","Zigler, Evan",26,2,5,0,3,2,0.6,0,0,0,0,0,0,0,0
"21","Spry, Aaron",15,2,5,1,2,2,0.6,0,0,0,0,0,0,0,0
"22","King, Jacob",49,41,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","Total:",52,NA,1655,1169,404,82,0.95,35,0,70,10,0.875,15,0,0
"24","Opponents:",52,NA,1697,1179,438,80,0.953,27,0,92,25,0.786,20,1,0
