"","Fielding","GP","GS","C","PO","A","E","FLD%","DP","TP","SBA","RCS","SBA%","PB","CI","OBS"
"1","Zeller, Will",6,1,9,8,1,0,1,0,0,0,0,0,0,0,0
"2","Mccracken, Ryan",8,0,2,1,1,0,1,0,0,0,0,0,0,0,0
"3","Ward, jr., Anthony",7,0,2,1,1,0,1,0,0,0,0,0,0,0,0
"4","Zarsycki, Nick",9,1,1,1,0,0,1,0,0,0,0,0,0,0,0
"5","Hoffman, Dane",16,7,13,6,7,0,1,0,0,0,0,0,0,0,0
"6","Baker, Matt",14,12,6,3,3,0,1,0,0,0,0,0,0,0,0
"7","Adams, Conner",11,3,8,1,7,0,1,2,0,0,0,0,0,0,0
"8","Angeles, Genero",9,0,2,0,2,0,1,0,0,0,0,0,0,0,0
"9","Vochelli, Michael",14,2,7,1,6,0,1,1,0,0,0,0,0,0,0
"10","Betts, Charlie",17,4,7,1,6,0,1,0,0,0,0,0,0,0,0
"11","Miller, Matt",3,0,3,1,2,0,1,0,0,0,0,0,0,0,0
"12","Barron, Tanner",4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"13","Miller, Anthony",19,6,9,1,8,0,1,0,0,0,0,0,0,0,0
"14","Miller, David",21,9,9,9,0,0,1,0,0,0,0,0,0,0,0
"15","Vollmer, Matthew",32,24,204,178,25,1,0.995,0,0,49,13,0.79,9,0,0
"16","Prince, Tyler",53,52,243,231,8,4,0.984,19,0,0,0,0,0,0,0
"17","Freimuth, Noah",42,42,93,84,7,2,0.978,1,0,0,0,0,0,0,0
"18","Harris, Jack",48,46,96,89,4,3,0.969,1,0,0,0,0,0,0,0
"19","Wolfe, Harold",40,33,121,112,4,5,0.959,13,0,0,0,0,0,0,0
"20","Nagy, Jacob",43,30,191,166,15,10,0.948,0,0,45,8,0.849,12,1,0
"21","Mccowin, Mikhail",53,45,93,86,2,5,0.946,0,0,0,0,0,0,0,0
"22","Tussing, Justice",48,26,63,45,14,4,0.937,2,0,0,0,0,0,0,0
"23","Dekoninck, Kyle",16,5,13,1,11,1,0.923,0,0,0,0,0,0,0,0
"24","Harris, Brady",51,50,191,58,118,15,0.921,23,0,0,0,0,0,0,0
"25","Snider, David",6,6,12,3,8,1,0.917,3,0,0,0,0,0,0,0
"26","Zabarsky, Kyle",22,1,10,3,6,1,0.9,0,0,0,0,0,0,0,0
"27","Sullivan, Kaden",51,42,140,48,78,14,0.9,7,0,0,0,0,0,0,0
"28","Bova, Tony",47,38,156,67,73,16,0.897,23,0,0,0,0,0,0,0
"29","Gaff, Tanner",48,34,54,15,30,9,0.833,1,0,0,0,0,0,0,0
"30","Fiorini, Matt",17,7,10,2,6,2,0.8,0,0,0,0,0,0,0,0
"31","Siddons, Jordan",27,4,11,7,1,3,0.727,0,0,0,0,0,0,0,0
"32","Manson, Vyncent",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","Total:",53,NA,1780,1229,455,96,0.946,37,0,94,21,0.817,21,1,0
"34","Opponents:",53,NA,1830,1249,490,91,0.95,41,1,74,19,0.796,24,0,0
