"","Fielding","GP","GS","C","PO","A","E","FLD%","DP","TP","SBA","RCS","SBA%","PB","CI","OBS"
"1","Stump, Carter",6,1,1,1,0,0,1,0,0,0,0,0,0,0,0
"2","Waddups, Tucker",13,4,10,3,7,0,1,0,0,0,0,0,0,0,0
"3","Kolbe, Tanner",15,2,7,2,5,0,1,1,0,0,0,0,0,0,0
"4","Riggins, Clay",22,3,9,2,7,0,1,0,0,0,0,0,0,0,0
"5","Ubelhor, Mitch",21,0,4,1,3,0,1,0,0,0,0,0,0,0,0
"6","Gongwer, Drake",16,13,16,4,12,0,1,1,0,0,0,0,0,0,0
"7","Stanley, Cy",19,2,4,2,2,0,1,0,0,0,0,0,0,0,0
"8","Targgart, Nathan",32,32,227,212,15,0,1,18,0,0,0,0,0,0,0
"9","Kennedy, Andrew",48,35,144,129,14,1,0.993,9,0,0,0,0,0,0,0
"10","Kalbaugh, Ben",52,47,371,336,31,4,0.989,2,0,50,8,0.862,9,0,0
"11","Rusche, Nick",56,55,227,96,127,4,0.982,32,0,0,0,0,0,0,0
"12","Bass, TJ",52,49,113,100,11,2,0.982,0,0,15,2,0.882,3,0,0
"13","Mcgill, Christian",49,35,47,46,0,1,0.979,0,0,0,0,0,0,0,0
"14","Foster, Jonathan",52,21,45,42,2,1,0.978,0,0,0,0,0,0,0,0
"15","Fox, Caleb",27,3,45,39,5,1,0.978,1,0,3,2,0.6,1,0,0
"16","Whitman, Wyatt",56,55,120,114,3,3,0.975,1,0,0,0,0,0,0,0
"17","Lane, Josh",56,56,194,61,121,12,0.938,23,0,0,0,0,0,0,0
"18","Fields, Brian",38,24,83,71,6,6,0.928,7,0,0,0,0,0,0,0
"19","Lawson, Brett",55,54,127,28,88,11,0.913,7,0,0,0,0,0,0,0
"20","Tait, Cody",22,5,22,8,12,2,0.909,1,0,0,0,0,0,0,0
"21","Huseman, Noah",18,2,10,2,7,1,0.9,0,0,0,0,0,0,0,0
"22","Pettit, Justin",16,9,17,6,8,3,0.824,0,0,0,0,0,0,0,0
"23","Shively, Luke",15,13,10,3,5,2,0.8,0,0,0,0,0,0,0,0
"24","Crawford, Conner",39,31,28,22,0,6,0.786,0,0,0,0,0,0,0,0
"25","Carlson, Luke",15,7,12,3,6,3,0.75,0,0,0,0,0,0,0,0
"26","Barkhaus, Kole",15,1,3,0,2,1,0.667,0,0,0,0,0,0,0,0
"27","Kelsheimer, Kyle",38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","Bennett, Titen",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","Total:",56,NA,1897,1333,500,64,0.966,37,0,68,12,0.85,13,0,0
"30","Opponents:",56,NA,1792,1273,430,89,0.95,30,0,62,21,0.747,8,1,0
