"","Batting","GP","GS","AVG","AB","R","H","2B","3B","HR","RBI","TB","SLG%","BB","HBP","SO","GDP","OB%","SF","SH","SB","SBA"
"1","Moss, Kawambee",36,36,0.372,129,26,48,9,2,1,21,64,0.496,20,3,26,3,0.467,0,1,20,21
"2","Love, Mason",38,38,0.333,141,7,47,10,0,2,27,63,0.447,12,0,20,3,0.381,2,2,1,1
"3","Wilburn, Jake",40,39,0.333,147,31,49,3,1,0,8,54,0.367,17,4,21,2,0.417,0,2,12,17
"4","Wathier, Mike",27,26,0.309,94,10,29,5,0,2,21,40,0.426,6,0,21,4,0.34,3,2,0,0
"5","Adams, Luke",27,27,0.281,89,10,25,3,0,0,5,28,0.315,11,3,14,1,0.371,2,2,1,1
"6","Diss, Brandon",34,34,0.259,116,17,30,4,1,1,14,39,0.336,13,3,22,0,0.343,2,5,2,2
"7","Schalasky, Jake",39,35,0.239,117,12,28,4,1,0,15,34,0.291,12,2,33,1,0.321,0,3,2,4
"8","Andersen, Zach",3,3,0.222,9,1,2,0,0,1,5,5,0.556,2,0,1,0,0.364,0,0,0,0
"9","Beebe, Rocci",14,8,0.19,21,4,4,1,0,0,2,5,0.238,2,3,10,0,0.346,0,0,0,0
"10","Kermode, Seth",34,24,0.187,75,18,14,1,0,0,5,15,0.2,7,5,27,2,0.299,0,1,4,6
"11","Lafi, Syam",35,32,0.178,101,16,18,4,1,1,8,27,0.267,16,4,34,1,0.314,0,2,5,7
"12","Spera, James",23,17,0.167,60,5,10,1,0,1,5,14,0.233,9,1,31,0,0.286,0,0,0,0
"13","Swingley, Sullivan",23,20,0.163,49,5,8,0,0,1,8,11,0.224,4,2,9,3,0.255,0,2,0,0
"14","Luzon, Sean",31,18,0.161,56,11,9,2,0,0,3,11,0.196,7,3,15,2,0.284,1,1,2,2
"15","Gillam, Josh",11,9,0.143,28,2,4,0,0,0,6,4,0.143,4,1,5,1,0.273,0,0,0,0
"16","Bobeck, Andrew",18,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","Rasmussen, Justin",14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","Ignaszak, Quin",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","King, Josh",9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","Plomb, Bray",1,1,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0.25,0,0,0,0
"21","Hoeffel, Noah",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","Goodrich, Kory",7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","Clevenger, Benjamin",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","Pietsch, Matthew",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","Madrid, Jose",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","Beebe, Krischtin",7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","Total:",40,NA,0.263,1235,177,325,47,6,10,153,414,0.335,143,34,290,23,0.353,10,23,49,61
"28","Opponents:",40,NA,0.286,1273,278,364,68,8,30,237,538,0.423,174,28,222,13,0.379,17,21,78,97
