"","Batting","GP","GS","AVG","AB","R","H","2B","3B","HR","RBI","TB","SLG%","BB","HBP","SO","GDP","OB%","SF","SH","SB","SBA"
"1","Stroble ii, Clinton",45,45,0.378,156,12,59,16,0,7,34,96,0.615,19,9,28,0,0.468,2,0,0,0
"2","Longacre, Ben",46,45,0.343,166,37,57,13,0,4,23,82,0.494,17,6,22,1,0.421,1,0,2,4
"3","Malson, Colby",47,46,0.309,162,28,50,5,1,0,9,57,0.352,16,6,22,2,0.387,2,6,1,2
"4","Wilson, Mitchell",46,46,0.28,164,24,46,11,0,4,31,69,0.421,14,2,20,6,0.335,5,1,0,0
"5","Todaro, Anthony",29,12,0.241,54,2,13,1,0,0,6,14,0.259,4,0,12,3,0.288,1,1,0,0
"6","Grooms, Jason",31,23,0.241,87,12,21,4,0,3,13,34,0.391,5,2,21,3,0.295,1,0,0,1
"7","Bontrager, Austin",32,23,0.241,87,5,21,1,0,1,9,25,0.287,11,0,28,1,0.327,0,0,0,0
"8","Schofield, Brighton",40,25,0.239,88,19,21,2,0,1,8,26,0.295,18,1,38,0,0.37,1,0,6,6
"9","Logan, Tanner",38,33,0.237,114,12,27,7,0,1,28,37,0.325,13,1,21,3,0.313,3,0,0,0
"10","Garcia, Bobby",45,32,0.217,120,24,26,2,0,0,11,28,0.233,13,1,26,0,0.299,0,2,6,8
"11","Creager, Evan",42,31,0.207,87,17,18,3,0,0,12,21,0.241,12,1,41,1,0.304,2,3,2,4
"12","Mannies, Zach",4,1,0.2,5,0,1,0,0,0,0,1,0.2,0,0,2,0,0.2,0,0,0,0
"13","Mcguire, Kody",49,49,0.194,160,17,31,3,0,2,19,40,0.25,17,7,38,5,0.294,3,0,3,4
"14","Owens, Bailey",32,24,0.19,58,13,11,0,0,0,1,11,0.19,17,0,21,0,0.373,0,1,1,1
"15","Hunter, Chase",25,3,0.091,11,8,1,0,0,0,0,1,0.091,2,0,9,0,0.231,0,0,0,0
"16","Daniels, Jordan",13,5,0.056,18,0,1,1,0,0,2,2,0.111,3,0,13,0,0.19,0,0,0,0
"17","Caplinger, Nick",11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","Fox, Toby",12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","Gorman, Kade",16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","Evans, Braedon",8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","Armstrong, Quinlan",10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","Young, Baylee",9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","Nickell, Camm",11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","Kotecki, Kyle",17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","Daniel, Colton",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","Staelgraeve, Kyle",13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","Weaver, Eric",1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"28","Total:",49,NA,0.263,1538,230,404,69,1,23,206,544,0.354,181,36,363,25,0.35,21,14,21,30
"29","Opponents:",49,NA,0.283,1518,289,429,63,13,27,248,599,0.395,184,46,346,12,0.374,14,29,71,98
