"","Batting","GP","GS","AVG","AB","R","H","2B","3B","HR","RBI","TB","SLG%","BB","HBP","SO","GDP","OB%","SF","SH","SB","SBA"
"1","Harris, Xavier",44,44,0.336,137,25,46,8,0,0,23,54,0.394,21,8,31,3,0.446,2,1,4,6
"2","Griffin, Chris",43,41,0.333,132,28,44,8,5,5,27,77,0.583,28,4,32,0,0.463,0,1,0,2
"3","Anderson, David",42,42,0.322,174,21,56,8,2,0,22,68,0.391,10,0,15,5,0.355,2,1,4,7
"4","Sapp, Jacob",39,37,0.302,106,3,32,4,0,1,12,39,0.368,14,5,20,1,0.405,1,2,0,0
"5","Enyart, Mitchell",35,31,0.299,107,15,32,4,0,1,24,39,0.364,12,1,20,1,0.372,1,4,1,1
"6","Haney, Houston",40,38,0.289,128,17,37,9,0,4,32,58,0.453,10,5,30,1,0.354,4,0,2,2
"7","Scott, Branden",25,14,0.288,52,13,15,1,0,0,11,16,0.308,5,3,13,1,0.383,0,0,1,1
"8","Elford, Sid",28,11,0.283,53,5,15,3,0,1,6,21,0.396,4,1,18,2,0.345,0,0,1,1
"9","Snyder, RJ",41,27,0.265,102,30,27,3,0,1,14,33,0.324,5,0,16,2,0.296,1,2,14,18
"10","Newkirk, Sam",43,41,0.259,147,24,38,4,3,2,17,54,0.367,7,8,33,1,0.321,3,1,3,4
"11","Mullett, Jaron",34,17,0.254,67,18,17,3,1,1,14,25,0.373,6,2,18,0,0.329,1,1,1,2
"12","Brooks, Ethan",28,18,0.254,63,12,16,0,2,3,8,29,0.46,7,2,19,1,0.347,0,0,2,3
"13","Ackerman, Hunter",34,28,0.247,89,22,22,4,0,0,12,26,0.292,14,3,16,1,0.364,1,2,6,9
"14","Harmon, Beach",12,2,0.167,12,3,2,0,1,0,3,4,0.333,1,0,4,0,0.231,0,1,1,1
"15","Buzbee, Wyatt",25,0,0.125,8,19,1,0,0,0,0,1,0.125,0,0,4,0,0.125,0,0,4,6
"16","Wertz, Philip",12,4,0.1,10,1,1,0,0,0,0,1,0.1,3,0,3,0,0.308,0,0,1,1
"17","Wilhelmi, Bret",18,5,0.069,29,2,2,1,0,0,1,3,0.103,0,0,18,0,0.069,0,0,0,0
"18","Peterson, Ike",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","Voirol, Aaron",13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","Noska, Jordan",14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"21","Tew, Josh",14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","Peebles, Joey",8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","Clark, Scottie",10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","Swartzentruber, Logan",13,9,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"25","Hammel, Jacob",10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","Total:",44,NA,0.284,1418,258,403,60,14,19,226,548,0.386,148,42,311,19,0.365,16,16,45,64
"27","Opponents:",44,NA,0.333,1467,313,489,108,18,29,277,720,0.491,128,38,280,16,0.397,15,18,80,93
