"","Batting","GP","GS","AVG","AB","R","H","2B","3B","HR","RBI","TB","SLG%","BB","HBP","SO","GDP","OB%","SF","SH","SB","SBA"
"1","Thixton, Tye",52,52,0.335,194,37,65,13,1,7,35,101,0.521,17,5,21,2,0.403,0,1,8,11
"2","English, Ethan",36,35,0.333,138,32,46,11,0,14,44,99,0.717,16,6,32,0,0.42,2,0,2,2
"3","Coy, Nick",44,41,0.323,127,19,41,4,0,2,17,51,0.402,18,6,22,3,0.425,2,1,3,3
"4","Killian, Tanner",34,23,0.318,88,17,28,6,2,3,14,47,0.534,6,4,29,1,0.388,0,2,1,2
"5","Eder, Caleb",52,51,0.314,169,43,53,18,1,16,45,121,0.716,39,8,48,0,0.459,2,0,3,3
"6","West, Brady",52,52,0.287,181,22,52,16,0,14,37,110,0.608,35,6,46,0,0.417,1,0,4,4
"7","Busby, Steven",52,52,0.28,168,28,47,5,1,8,38,78,0.464,27,5,38,1,0.395,0,5,2,4
"8","Goodin, Lucas",52,51,0.271,181,33,49,6,0,4,20,67,0.37,32,2,45,0,0.386,0,2,2,3
"9","Johnson, Parker",29,27,0.256,86,16,22,7,0,1,12,32,0.372,9,2,16,3,0.337,1,2,5,6
"10","Durham, Jack",26,2,0.25,16,8,4,0,0,0,0,4,0.25,0,0,6,1,0.25,0,0,2,3
"11","Wharton, Jordan",29,28,0.239,92,14,22,6,0,0,8,28,0.304,8,5,20,0,0.327,2,1,3,3
"12","Schreiber, Gaven",29,19,0.232,69,4,16,4,0,0,7,20,0.29,4,1,28,1,0.284,0,2,0,0
"13","Turner, Austin",26,19,0.185,54,9,10,2,0,0,5,12,0.222,4,1,21,0,0.254,0,2,0,0
"14","Bauman, Noah",31,19,0.098,41,8,4,0,1,0,3,6,0.146,14,0,14,0,0.327,0,1,1,1
"15","Lenz, Bryce",36,2,0.083,12,18,1,0,1,0,1,3,0.25,3,2,9,0,0.353,0,0,9,12
"16","Koenig, Josiah",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","Mccool, Max",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","Raven, James",1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"19","Denison, Seth",2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"20","Swenson, Jared",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","Fitch, Michael",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","Hall, Kyle",16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","Rohde, Johnny",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","Young, Jon",13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","Swift, Austin",6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","Cantrell, Conner",12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","Ledbetter, Collin",9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"28","Wynkoop, Tyler",12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","Breytenbach, Zee",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","Total:",52,NA,0.284,1619,308,460,98,7,69,286,779,0.481,232,53,397,12,0.389,10,19,45,58
"31","Opponents:",52,NA,0.264,1540,275,407,51,6,23,245,539,0.35,210,53,374,26,0.368,16,23,75,93
