"","Batting","GP","GS","AVG","AB","R","H","2B","3B","HR","RBI","TB","SLG%","BB","HBP","SO","GDP","OB%","SF","SH","SB","SBA"
"1","Lopez, Leo",50,50,0.337,190,23,64,12,0,7,36,97,0.511,13,1,18,3,0.377,3,0,2,2
"2","Bacon, Maverick",46,46,0.32,150,21,48,4,0,1,23,55,0.367,23,1,20,2,0.409,2,1,0,0
"3","Vogel, Tyler",46,45,0.298,151,23,45,7,0,1,25,55,0.364,17,1,26,2,0.362,5,7,1,1
"4","Turk, Matt",43,34,0.286,112,17,32,10,0,1,11,45,0.402,15,5,38,1,0.391,1,2,0,0
"5","Shuder, Adam",30,3,0.286,14,10,4,1,0,0,1,5,0.357,2,0,4,1,0.375,0,0,4,4
"6","Earl, Cody",16,16,0.283,53,11,15,1,1,3,13,27,0.509,6,2,4,0,0.377,0,0,1,1
"7","Jones, Caden",43,34,0.28,118,22,33,8,0,4,16,53,0.449,12,4,20,2,0.36,2,0,0,0
"8","Hickman, Evan",45,41,0.277,130,8,36,5,0,3,20,50,0.385,29,2,16,2,0.404,5,3,0,0
"9","Mccool, Skyler",28,8,0.25,36,3,9,1,0,1,5,13,0.361,10,3,12,0,0.449,0,0,0,0
"10","Fisher, Henry",51,49,0.245,151,26,37,7,0,7,30,65,0.43,17,5,54,1,0.339,1,1,3,4
"11","Peisker, Shane",20,20,0.24,50,11,12,1,0,1,5,16,0.32,8,0,16,0,0.345,0,1,1,2
"12","Quartero, Kahi'au",29,23,0.207,82,10,17,2,0,0,9,19,0.232,4,0,20,2,0.244,0,3,1,3
"13","Adams, Baylee",35,28,0.204,103,6,21,3,0,0,8,24,0.233,9,6,8,0,0.303,1,4,0,0
"14","Myers, Caleb",27,20,0.2,65,7,13,4,0,0,10,17,0.262,13,4,18,0,0.361,1,1,0,0
"15","Stephen, Eathan",37,28,0.191,89,19,17,3,0,0,5,20,0.225,13,4,20,1,0.315,2,4,0,1
"16","Streit, Andrew",10,2,0.182,11,0,2,0,0,0,0,2,0.182,2,0,6,0,0.286,1,0,0,0
"17","Olejnik, Dillon",9,1,0.143,7,0,1,0,0,0,1,1,0.143,2,0,4,0,0.333,0,0,0,0
"18","Hargrove, Tyler",27,4,0.143,7,18,1,0,0,0,1,1,0.143,3,0,2,0,0.4,0,1,1,1
"19","Laguire, Jonathan",29,4,0.045,22,9,1,0,0,0,0,1,0.045,4,1,10,0,0.222,0,0,2,2
"20","Augustus, Allan",40,5,0.036,28,14,1,0,0,0,3,1,0.036,9,1,8,0,0.289,0,0,1,1
"21","Dowell, Chase",22,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","Berger, Jared",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","Burleton, Matt",17,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","Bartholomew, Adam",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","Weimer, Cole",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","Sampoll, Josh",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","Abegg, Kadin",4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","Bromberek, John",3,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"29","Marin, Jake",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","Wills, Reese",10,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"31","Aping, Kole",7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","Darter, Ethan",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","Simpson, Tanner",13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","Lucas, Tyler",8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","Total:",51,NA,0.26,1572,259,409,69,1,29,222,567,0.361,211,40,325,17,0.357,24,28,18,23
"36","Opponents:",51,NA,0.271,1559,232,422,76,9,17,217,567,0.364,164,50,298,25,0.356,16,27,38,55
