"","Batting","GP","GS","AVG","AB","R","H","2B","3B","HR","RBI","TB","SLG%","BB","HBP","SO","GDP","OB%","SF","SH","SB","SBA"
"1","Harris, Gavin",20,6,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
"2","Triplett, Chris",50,50,0.377,175,53,66,6,2,10,36,106,0.606,19,12,31,0,0.469,1,5,25,33
"3","Lengerich, Conner",52,52,0.363,171,53,62,6,6,9,47,107,0.626,27,13,31,2,0.474,4,1,15,19
"4","Lorey, Evan",43,43,0.333,162,38,54,10,2,2,15,74,0.457,22,2,35,1,0.415,2,0,11,16
"5","Patterson, Duncan",48,44,0.33,88,9,29,2,0,0,18,31,0.352,16,0,12,2,0.417,4,0,1,3
"6","King, Jacob",49,41,0.32,125,13,40,11,0,1,26,54,0.432,8,2,22,3,0.362,3,0,3,3
"7","Leon, Danilo",6,6,0.316,19,3,6,0,0,0,2,6,0.316,3,0,4,0,0.409,0,0,3,3
"8","Herschberger, Vincent",48,48,0.294,136,32,40,11,1,1,31,56,0.412,38,7,29,4,0.452,7,2,6,9
"9","Salow, Steve",18,7,0.29,31,3,9,1,0,0,8,10,0.323,3,0,1,0,0.353,0,2,1,1
"10","Ellis, Jake",42,17,0.263,80,8,21,7,0,1,11,31,0.388,12,2,15,1,0.372,0,0,2,3
"11","Mast, Brant",52,52,0.263,167,32,44,2,2,1,19,53,0.317,18,5,31,3,0.349,2,10,1,2
"12","Harding, Peyton",43,42,0.23,122,3,28,7,0,3,24,44,0.361,23,1,34,5,0.351,2,4,0,0
"13","Kitchen, Josiah",50,41,0.227,119,18,27,5,0,0,9,32,0.269,11,2,23,0,0.301,1,9,15,18
"14","Kraabel, Zach",43,21,0.211,71,15,15,3,1,1,2,23,0.324,8,1,16,1,0.3,0,0,3,3
"15","Zigler, Evan",26,2,0.2,10,3,2,0,0,0,0,2,0.2,1,0,1,0,0.273,0,1,1,2
"16","Dale, Jacoby",33,14,0.146,48,12,7,0,0,0,4,7,0.146,1,1,13,0,0.176,1,1,4,8
"17","Brook, Noah",8,4,0.125,8,0,1,0,0,0,0,1,0.125,2,0,2,0,0.3,0,1,0,0
"18","Carroll, Nick",16,4,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0.25,0,0,0,0
"19","Williams, Jon",13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","Waller, Cameron",9,0,0,7,0,0,0,0,0,0,0,0,1,0,4,0,0.125,0,0,0,0
"21","Spry, Aaron",15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","Devon, Zachariah",18,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","Total:",52,NA,0.293,1544,295,452,71,14,29,253,638,0.413,215,48,305,22,0.39,27,36,91,123
"24","Opponents:",52,NA,0.281,1556,306,437,84,11,25,275,618,0.397,218,49,312,22,0.381,25,24,68,81
