"","Batting","GP","GS","AVG","AB","R","H","2B","3B","HR","RBI","TB","SLG%","BB","HBP","SO","GDP","OB%","SF","SH","SB","SBA"
"1","Rusche, Nick",56,55,0.309,181,43,56,16,0,0,22,72,0.398,34,4,29,2,0.422,4,2,11,14
"2","Bass, TJ",52,49,0.29,169,25,49,7,1,5,30,73,0.432,15,7,32,4,0.37,1,0,0,0
"3","Kolbe, Tanner",15,2,0.286,7,5,2,0,0,1,1,5,0.714,1,0,1,0,0.375,0,0,0,1
"4","Lawson, Brett",55,54,0.277,177,27,49,14,0,1,27,66,0.373,13,9,47,3,0.355,1,2,2,2
"5","Targgart, Nathan",32,32,0.275,109,16,30,7,0,3,28,46,0.422,13,8,15,3,0.389,1,0,0,0
"6","Mcgill, Christian",49,35,0.271,107,22,29,3,0,0,19,32,0.299,17,6,24,1,0.388,4,3,5,10
"7","Crawford, Conner",39,31,0.261,88,12,23,8,1,2,15,39,0.443,14,2,31,2,0.371,1,1,1,2
"8","Lane, Josh",56,56,0.255,192,37,49,10,1,4,30,73,0.38,31,6,20,0,0.369,4,1,9,13
"9","Tait, Cody",22,5,0.25,20,4,5,1,0,0,3,6,0.3,4,0,3,0,0.36,1,3,0,1
"10","Whitman, Wyatt",56,55,0.242,182,33,44,9,1,5,34,70,0.385,26,8,43,3,0.355,4,5,9,12
"11","Kalbaugh, Ben",52,47,0.24,150,4,36,9,0,2,20,51,0.34,15,4,37,3,0.324,1,1,0,0
"12","Foster, Jonathan",52,21,0.229,48,18,11,0,0,0,4,11,0.229,7,2,9,0,0.351,0,9,10,12
"13","Fields, Brian",38,24,0.217,83,11,18,1,0,4,17,31,0.373,11,3,30,3,0.33,0,0,0,0
"14","Kennedy, Andrew",48,35,0.205,112,12,23,6,0,0,16,29,0.259,16,4,31,2,0.323,1,0,1,1
"15","Fox, Caleb",27,3,0.167,6,8,1,0,0,0,0,1,0.167,4,1,2,0,0.545,0,1,1,2
"16","Shively, Luke",15,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","Riggins, Clay",22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","Bennett, Titen",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","Stump, Carter",6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","Waddups, Tucker",13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","Barkhaus, Kole",15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","Pettit, Justin",16,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","Ubelhor, Mitch",21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","Huseman, Noah",18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","Gongwer, Drake",16,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","Stanley, Cy",19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","Carlson, Luke",15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","Kelsheimer, Kyle",38,0,0,1,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17,20
"29","Total:",56,NA,0.26,1632,294,425,91,4,27,266,605,0.371,221,64,355,26,0.366,23,28,66,90
"30","Opponents:",56,NA,0.209,1609,203,337,54,3,23,177,466,0.29,262,48,454,28,0.335,10,31,69,83
