"","Fielding","GP","GS","C","PO","A","E","FLD%","DP","TP","SBA","RCS","SBA%","PB","CI","OBS"
"1","Mannies, Zach",4,1,1,1,0,0,1,0,0,0,0,0,0,0,0
"2","Evans, Braedon",8,8,4,0,4,0,1,0,0,0,0,0,0,0,0
"3","Nickell, Camm",11,10,7,1,6,0,1,0,0,0,0,0,0,0,0
"4","Caplinger, Nick",11,2,4,1,3,0,1,0,0,0,0,0,0,0,0
"5","Logan, Tanner",38,33,1,1,0,0,1,0,0,0,0,0,0,0,0
"6","Grooms, Jason",31,23,44,38,6,0,1,0,0,0,0,0,0,0,0
"7","Todaro, Anthony",29,12,72,59,12,1,0.986,1,0,27,8,0.771,6,0,0
"8","Longacre, Ben",46,45,110,107,1,2,0.982,1,0,0,0,0,0,0,0
"9","Daniels, Jordan",13,5,54,47,6,1,0.981,0,0,16,5,0.762,1,0,0
"10","Mcguire, Kody",49,49,345,323,15,7,0.98,17,0,0,0,0,0,0,0
"11","Stroble ii, Clinton",45,45,272,237,28,7,0.974,2,0,28,9,0.757,5,1,0
"12","Malson, Colby",47,46,175,92,76,7,0.96,14,0,0,0,0,0,0,0
"13","Owens, Bailey",32,24,45,41,2,2,0.956,0,0,0,0,0,0,0,0
"14","Schofield, Brighton",40,25,47,41,2,4,0.915,0,0,0,0,0,0,0,0
"15","Creager, Evan",42,31,61,50,5,6,0.902,1,0,0,0,0,0,0,0
"16","Bontrager, Austin",32,23,62,11,44,7,0.887,3,0,0,0,0,0,0,0
"17","Wilson, Mitchell",46,46,160,40,100,20,0.875,12,0,0,0,0,0,0,0
"18","Gorman, Kade",16,8,16,1,13,2,0.875,0,0,0,0,0,0,0,0
"19","Young, Baylee",9,3,7,1,5,1,0.857,0,0,0,0,0,0,0,0
"20","Garcia, Bobby",45,32,112,39,56,17,0.848,4,0,0,0,0,0,0,0
"21","Armstrong, Quinlan",10,1,6,0,5,1,0.833,0,0,0,0,0,0,0,0
"22","Fox, Toby",12,5,5,2,2,1,0.8,0,0,0,0,0,0,0,0
"23","Staelgraeve, Kyle",13,7,9,0,7,2,0.778,0,0,0,0,0,0,0,0
"24","Hunter, Chase",25,3,7,4,1,2,0.714,1,0,0,0,0,0,0,0
"25","Kotecki, Kyle",17,2,9,1,5,3,0.667,1,0,0,0,0,0,0,0
"26","Daniel, Colton",22,0,5,0,3,2,0.6,0,0,0,0,0,0,0,0
"27","Weaver, Eric",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","Total:",49,NA,1640,1138,407,95,0.942,22,0,71,22,0.763,12,1,0
"29","Opponents:",49,NA,1649,1171,411,67,0.959,33,0,21,8,0.724,12,0,0
