"","Fielding","GP","GS","C","PO","A","E","FLD%","DP","TP","SBA","RCS","SBA%","PB","CI","OBS"
"1","Conner, Clint",4,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"2","Bacon, Christian",14,2,1,0,1,0,1,0,0,0,0,0,0,0,0
"3","Booth, Payton",12,3,5,1,4,0,1,0,0,0,0,0,0,0,0
"4","Rose, Jaret",9,7,13,4,9,0,1,0,0,0,0,0,0,0,0
"5","Fuentes, Gustavo",11,0,2,0,2,0,1,0,0,0,0,0,0,0,0
"6","Dent, Hunter",8,2,12,10,2,0,1,0,0,0,1,0,0,0,0
"7","Patten, Yanni",26,11,54,52,2,0,1,6,0,0,0,0,0,0,0
"8","Miller, Brandt",51,49,189,97,91,1,0.995,28,0,0,0,0,0,0,0
"9","Miller, Cameron",26,25,125,98,26,1,0.992,2,0,9,7,0.563,8,0,0
"10","Cooper, Billy",20,16,95,79,15,1,0.989,0,0,11,9,0.55,7,1,0
"11","Glover, Jake",52,51,282,259,19,4,0.986,33,0,0,0,0,0,0,0
"12","Pearl, Devin",48,47,69,67,0,2,0.971,0,0,0,0,0,0,0,0
"13","Ritchey, Drew",20,15,105,87,15,3,0.971,1,0,18,9,0.667,2,0,0
"14","Moser, Nick",52,50,100,95,2,3,0.97,0,0,0,0,0,0,0,0
"15","Walker, Toby",53,40,92,83,6,3,0.967,1,0,0,0,0,0,0,0
"16","Myers, Ashton",53,53,49,47,0,2,0.959,0,0,0,0,0,0,0,0
"17","Miller, Kobe",29,12,84,66,14,4,0.952,7,0,0,0,0,0,0,0
"18","Bauman, Kaleb",14,11,19,6,12,1,0.947,1,0,0,0,0,0,0,0
"19","Kline, Chris",48,47,246,88,143,15,0.939,31,0,0,0,0,0,0,0
"20","Saal, Aaron",53,53,134,41,84,9,0.933,8,0,0,0,0,0,0,0
"21","Roe, Jacob",18,0,14,2,11,1,0.929,1,0,0,0,0,0,0,0
"22","Clark, Cory",40,7,25,8,15,2,0.92,4,0,0,0,0,0,0,0
"23","Rader, Mark",11,8,14,4,8,2,0.857,1,0,0,0,0,0,0,0
"24","Griffith, Jack",8,2,9,4,3,2,0.778,1,0,0,0,0,0,0,0
"25","Goodpaster, Adam",23,1,2,1,0,1,0.5,0,0,0,0,0,0,0,0
"26","Cintron, Luis",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","Ottke, Jackson",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","Brooks, Jeremy",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","Wood, Trenton",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","Williamson, Curtis",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","Total:",53,NA,1741,1199,485,57,0.967,47,0,38,26,0.594,17,1,0
"32","Opponents:",53,NA,1751,1179,460,112,0.936,32,0,87,30,0.744,17,0,0
