"","Pitching","ERA","W","L","GP","GS","CG","SHO","CBO","SV","IP","H","R","ER","BB","SO","2B","3B","HR","TBF","B/Avg","WP","HBP","BK","SFA","SHA"
"1","Wood, Trenton",0,0,0,1,0,0,0,0,0,1,1,0,0,0,2,0,0,0,5,0.2,1,0,0,0,0
"2","Fuentes, Gustavo",2.16,1,0,11,0,0,0,0,0,16.2,12,5,4,4,9,1,0,1,68,0.19,0,1,0,0,0
"3","Goodpaster, Adam",2.32,1,1,23,1,0,0,1,9,31,27,10,8,9,36,5,1,1,132,0.225,0,2,0,1,0
"4","Rader, Mark",3.24,4,2,11,8,1,0,0,0,50,46,24,18,18,27,8,0,2,218,0.243,4,7,0,3,1
"5","Bauman, Kaleb",3.25,6,1,14,11,1,0,3,0,63.2,61,26,23,21,48,18,1,2,270,0.252,8,2,1,0,4
"6","Glover, Jake",3.55,9,4,14,13,2,1,0,0,71,77,32,28,15,50,11,0,5,306,0.28,3,11,0,3,2
"7","Roe, Jacob",4.26,3,2,18,0,0,0,0,1,31.2,52,20,15,4,18,5,1,2,147,0.371,2,1,2,1,1
"8","Rose, Jaret",4.29,3,2,9,7,1,1,0,0,42,40,21,20,20,17,7,0,2,185,0.255,4,4,0,1,3
"9","Saal, Aaron",4.29,4,1,8,6,0,0,1,0,35.2,35,19,17,13,32,8,2,2,156,0.255,2,4,1,1,1
"10","Brooks, Jeremy",4.5,0,0,1,0,0,0,0,0,2,2,1,1,0,2,0,0,1,9,0.25,1,1,0,0,0
"11","Myers, Ashton",6.23,0,0,1,1,0,0,0,0,4.1,4,5,3,3,5,0,1,0,20,0.25,1,1,0,0,0
"12","Ottke, Jackson",6.75,0,1,2,0,0,0,0,0,1.1,3,3,1,4,1,0,0,0,13,0.375,1,1,0,0,0
"13","Booth, Payton",7.5,3,0,12,3,0,0,1,0,30,40,25,25,11,24,6,2,2,136,0.328,5,1,0,2,0
"14","Bacon, Christian",9,1,2,6,2,0,0,0,0,10,17,10,10,5,6,6,0,1,50,0.386,0,0,0,0,1
"15","Conner, Clint",17.61,1,1,4,1,0,0,0,0,7.2,8,15,15,11,4,2,0,1,41,0.286,4,2,1,0,0
"16","Williamson, Curtis",54,0,0,2,0,0,0,0,0,1.2,10,10,10,2,2,1,0,1,18,0.625,0,0,0,0,0
"17","Total:",4.46,36,17,53,NA,5,2,6,10,399.2,435,226,198,140,283,78,8,23,1774,0.277,36,38,5,12,13
"18","Opponents:",6.44,17,36,53,NA,7,0,0,2,393,540,358,281,191,282,90,17,24,1938,0.327,47,44,5,19,32
