"","Pitching","ERA","W","L","GP","GS","CG","SHO","CBO","SV","IP","H","R","ER","BB","SO","2B","3B","HR","TBF","B/Avg","WP","HBP","BK","SFA","SHA"
"1","Haney, Houston",3.64,3,3,11,8,3,0,0,0,54.1,76,29,22,7,48,17,2,3,248,0.322,1,2,0,2,1
"2","Noska, Jordan",3.71,2,0,14,0,0,0,0,1,26.2,39,15,11,5,17,6,1,2,125,0.355,2,4,1,3,3
"3","Peterson, Ike",5.4,0,1,13,0,0,0,0,1,20,23,16,12,3,10,3,2,0,93,0.277,3,4,2,1,2
"4","Anderson, David",5.64,3,4,11,7,1,0,0,1,44.2,59,34,28,21,49,15,5,3,215,0.314,3,3,0,1,2
"5","Hammel, Jacob",6.43,2,0,10,0,0,0,0,1,14,11,10,10,7,15,5,0,0,62,0.212,4,2,0,0,1
"6","Clark, Scottie",7.31,1,4,10,6,0,0,0,0,28.1,45,31,23,6,20,8,3,4,145,0.344,2,4,0,3,1
"7","Tew, Josh",8.1,2,3,13,7,0,0,0,0,40,67,42,36,9,37,13,3,4,199,0.366,5,4,0,1,2
"8","Voirol, Aaron",8.41,3,4,13,4,1,1,0,0,46,70,56,43,19,52,19,1,7,231,0.337,3,3,0,1,0
"9","Brooks, Ethan",9,0,0,5,0,0,0,0,0,9,14,9,9,7,2,4,1,1,47,0.378,0,2,0,0,1
"10","Swartzentruber, Logan",9.08,1,6,12,9,0,0,0,0,38.2,57,49,39,30,30,10,0,2,211,0.335,7,7,0,0,4
"11","Peebles, Joey",10.47,0,2,7,3,0,0,0,0,16.1,25,22,19,13,8,6,0,3,93,0.338,2,2,0,3,1
"12","Total:",6.71,17,27,44,NA,5,1,0,4,338,486,313,252,127,288,106,18,29,1669,0.33,32,37,3,15,18
"13","Opponents:",5.07,27,17,44,NA,4,2,8,5,349.2,404,258,197,151,311,56,13,19,1637,0.285,38,39,3,14,15
