"","Pitching","ERA","W","L","GP","GS","CG","SHO","CBO","SV","IP","H","R","ER","BB","SO","2B","3B","HR","TBF","B/Avg","WP","HBP","BK","SFA","SHA"
"1","Lawson, Brett",0,0,0,2,0,0,0,0,0,2,1,0,0,0,3,1,0,0,7,0.143,0,0,0,0,0
"2","Ubelhor, Mitch",1.08,2,2,21,0,0,0,0,7,33.1,15,7,4,17,54,1,1,0,132,0.135,6,1,0,1,2
"3","Stump, Carter",1.8,1,0,4,1,0,0,0,0,5,3,1,1,8,4,0,0,0,26,0.188,0,1,0,0,1
"4","Stanley, Cy",2.13,6,1,19,2,0,0,1,2,38,25,11,9,22,36,4,0,2,162,0.18,5,1,0,0,0
"5","Riggins, Clay",2.36,7,1,21,3,0,0,1,0,49.2,43,15,13,26,53,10,0,3,221,0.231,4,6,0,0,3
"6","Shively, Luke",2.39,4,5,15,13,0,0,0,0,60.1,40,24,16,40,61,5,0,2,263,0.185,3,2,0,0,5
"7","Carlson, Luke",2.68,3,2,15,7,0,0,2,1,40.1,26,17,12,26,38,2,0,1,180,0.184,3,9,1,0,4
"8","Huseman, Noah",2.83,4,0,18,2,0,0,1,0,35,23,15,11,19,27,5,1,1,151,0.183,1,2,0,3,1
"9","Pettit, Justin",3.48,4,1,16,9,0,0,1,1,51.2,41,28,20,27,44,5,1,4,228,0.219,3,5,0,2,7
"10","Kennedy, Andrew",3.92,3,0,12,0,0,0,0,0,20.2,18,12,9,8,19,3,0,1,87,0.234,5,1,0,0,1
"11","Barkhaus, Kole",4.38,1,2,15,1,0,0,0,5,24.2,26,16,12,13,26,3,0,1,113,0.286,3,5,0,2,2
"12","Gongwer, Drake",4.93,2,3,16,13,1,0,1,0,49.1,40,32,27,32,49,7,0,5,229,0.22,4,9,1,2,4
"13","Waddups, Tucker",5.74,1,1,13,4,0,0,0,2,31.1,34,22,20,16,38,8,0,3,141,0.286,2,4,1,0,2
"14","Bennett, Titen",9,0,0,3,1,0,0,0,0,3,1,3,3,8,2,0,0,0,20,0.1,4,2,0,0,0
"15","Total:",3.18,38,18,56,NA,1,0,7,18,444.1,336,203,157,262,454,54,3,23,1960,0.209,43,48,3,10,32
"16","Opponents:",4.98,18,37,56,NA,4,2,6,9,424.1,416,294,235,220,355,89,4,27,1969,0.255,34,65,2,22,28
