"","Pitching","ERA","W","L","GP","GS","CG","SHO","CBO","SV","IP","H","R","ER","BB","SO","2B","3B","HR","TBF","B/Avg","WP","HBP","BK","SFA","SHA"
"1","Harding, Peyton",0,0,0,1,0,0,0,0,0,0.2,1,0,0,1,0,1,0,0,4,0.5,0,0,0,1,0
"2","Patterson, Duncan",3.31,9,5,16,15,8,0,0,0,103.1,104,46,38,25,79,17,3,8,447,0.254,6,6,0,3,4
"3","Brook, Noah",3.86,0,0,4,0,0,0,0,0,4.2,4,4,2,1,0,1,0,1,21,0.211,0,0,0,1,0
"4","Harris, Gavin",4.87,4,4,20,6,0,0,0,7,57.1,60,39,31,27,53,7,2,2,257,0.275,9,7,1,3,2
"5","Williams, Jon",5.05,1,7,13,10,0,0,0,0,41,40,31,23,35,48,9,1,3,210,0.247,7,7,0,2,3
"6","Devon, Zachariah",5.86,3,4,14,11,0,0,0,0,55.1,56,42,36,36,38,9,1,1,258,0.269,11,7,0,3,4
"7","Spry, Aaron",6.08,2,2,15,2,0,0,0,0,26.2,35,27,18,21,12,9,1,2,139,0.304,1,2,1,1,0
"8","Kraabel, Zach",6.47,1,2,14,3,0,0,0,0,32,41,28,23,16,24,9,0,5,158,0.306,5,3,0,3,2
"9","Lorey, Evan",6.55,2,2,11,1,0,0,0,0,22,25,18,16,20,22,5,0,2,114,0.291,10,3,1,2,3
"10","Herschberger, Vincent",7.4,1,1,16,0,0,0,0,3,24.1,35,30,20,8,19,9,0,1,128,0.318,4,7,0,2,1
"11","Carroll, Nick",13.5,0,2,12,4,0,0,0,0,20,32,31,30,27,17,6,3,0,118,0.405,3,3,0,4,5
"12","Waller, Cameron",34.71,0,0,1,0,0,0,0,0,2.1,6,9,9,1,0,2,0,0,19,0.462,2,4,0,1,0
"13","Total:",5.68,23,29,52,NA,8,0,0,10,389.2,439,305,246,218,312,84,11,25,1873,0.282,58,49,3,26,24
"14","Opponents:",5.5,29,23,52,NA,4,2,4,8,393,451,295,240,215,305,71,14,29,1871,0.292,52,48,4,25,37
