"","Pitching","ERA","W","L","GP","GS","CG","SHO","CBO","SV","IP","H","R","ER","BB","SO","2B","3B","HR","TBF","B/Avg","WP","HBP","BK","SFA","SHA"
"1","Killian, Tanner",1.38,1,0,9,0,0,0,0,5,13,8,3,2,8,16,0,0,1,58,0.178,1,3,0,0,2
"2","Cantrell, Conner",3.77,3,5,11,11,3,1,0,0,57.1,68,36,24,21,46,6,0,3,268,0.285,3,5,1,0,3
"3","Young, Jon",3.87,6,3,13,13,2,0,0,0,81.1,89,42,35,19,71,11,2,5,365,0.269,4,7,0,3,5
"4","Eder, Caleb",4.09,3,6,10,9,3,1,1,0,50.2,40,30,23,28,60,6,0,0,227,0.216,4,10,0,0,4
"5","English, Ethan",4.5,0,1,2,0,0,0,0,0,4,1,2,2,3,3,0,0,0,17,0.083,1,1,0,0,1
"6","Hall, Kyle",4.61,5,6,16,9,2,0,0,0,56.2,56,35,29,35,67,6,0,6,264,0.257,6,6,0,3,2
"7","Swift, Austin",5.84,0,0,6,1,0,0,0,0,12.1,15,9,8,11,12,2,0,1,62,0.306,3,0,0,2,0
"8","Rohde, Johnny",6.2,0,1,12,0,0,0,0,0,20.1,15,19,14,23,17,4,0,0,104,0.19,5,2,0,0,0
"9","Johnson, Parker",6.35,0,2,7,4,0,0,1,0,17,16,16,12,15,14,4,1,1,83,0.258,2,4,1,0,2
"10","Breytenbach, Zee",7.4,2,3,17,0,0,0,0,1,24.1,40,29,20,9,18,3,1,4,131,0.351,4,5,2,3,0
"11","Wynkoop, Tyler",7.43,2,1,12,2,0,0,0,0,26.2,23,23,22,22,28,3,0,1,130,0.235,7,6,1,1,3
"12","Ledbetter, Collin",8.47,0,2,8,3,0,0,0,0,17,18,16,16,10,17,2,2,0,82,0.273,3,3,0,2,1
"13","Swenson, Jared",10.29,0,0,5,0,0,0,0,0,7,10,8,8,2,3,3,0,0,33,0.333,0,0,0,1,0
"14","Koenig, Josiah",13.5,0,0,1,0,0,0,0,0,0.2,2,1,1,0,0,0,0,1,3,0.667,0,0,0,0,0
"15","Mccool, Max",36,0,0,1,0,0,0,0,0,1,4,4,4,1,1,1,0,0,9,0.667,1,1,0,1,0
"16","Fitch, Michael",54,0,0,1,0,0,0,0,0,0.1,2,2,2,3,1,0,0,0,6,0.667,0,0,0,0,0
"17","Total:",5.13,22,30,52,NA,10,2,2,6,389.2,407,275,222,210,374,51,6,23,1842,0.264,44,53,5,16,23
"18","Opponents:",6.11,30,22,52,NA,4,1,2,11,398,460,308,270,231,396,98,6,69,1932,0.284,40,53,7,10,17
